1	0x38→# a ( a H ) ; N .	0x0d 0x14 0x2b 0x14 0x3b 0x2c 0x30 0x39 0x32	0x0d
2	0x39→V K	0x3a 0x46	0x12
3	0x39→K	0x46	0x02
4	0x3a→v a H : D' ; G	0x12 0x14 0x3b 0x31 0x3c 0x30 0x3e	0x12
5	0x3b→, a H	0x2f 0x14 0x3b	0x2f
6	0x3b→ε	0000	0x2c 0x31
7	0x3c→i J	0x17 0x3d	0x17
8	0x3c→r J	0x18 0x3d	0x18
9	0x3c→b J	0x15 0x3d	0x15
10	0x3c→c J	0x16 0x3d	0x16
11	0x3d→y [ n ]	0x01 0x2d 0x33 0x2e	0x01
12	0x3d→ε	0000	0x30
13	0x3e→a H : D' ; G	0x14 0x3b 0x31 0x3c 0x30 0x3e	0x14
14	0x3e→ε	0000	0x02
15	0x3f→A	0x40	0x14
16	0x3f→L	0x41	0x1d 0x1e
17	0x3f→W	0x42	0x1f 0x20
18	0x3f→K	0x46	0x02
19	0x3f→B	0x48	0x09 0x13 0x0e 0x08
20	0x40→a = E	0x14 0x36 0x4f	0x14
21	0x41→l ( a H )	0x1d 0x2b 0x14 0x3b 0x2c	0x1d
22	0x41→t ( a H )	0x1e 0x2b 0x14 0x3b 0x2c	0x1e
23	0x42→w ( U )	0x1f 0x2b 0x43 0x2c	0x1f
24	0x42→m X	0x20 0x45	0x20
25	0x43→a Y	0x14 0x44	0x14
26	0x43→" Y	0x35 0x44	0x35
27	0x44→, U	0x2f 0x43	0x2f
28	0x44→ε	0000	0x2c
29	0x45→ε	0000	0x30 0x06 0x11 0x07
30	0x45→( U )	0x2b 0x43 0x2c	0x2b
31	0x46→e S P f	0x02 0x3f 0x47 0x07	0x02
32	0x47→; S P	0x30 0x3f 0x47	0x30
33	0x47→ε	0000	0x11 0x07
34	0x48→I	0x49	0x09
35	0x48→R	0x4b	0x0e
36	0x48→Q	0x4c	0x13
37	0x48→D	0x4d	0x08
38	0x49→s C h S O	0x09 0x54 0x0f 0x3f 0x4a	0x09
39	0x4a→ε	0000	0x30 0x06 0x11 0x07
40	0x4a→o S	0x06 0x3f	0x06
41	0x4b→@ S P k C	0x0e 0x3f 0x47 0x11 0x54	0x0e
42	0x4c→q C z S	0x13 0x54 0x04 0x3f	0x13
43	0x4d→p A Z E z S	0x08 0x40 0x4e 0x4f 0x04 0x3f	0x08
44	0x4e→j	0x10	0x10
45	0x4e→d	0x05	0x05
46	0x4f→T E'	0x51 0x50	0x2b 0x14 0x0b 0x33 0x34
47	0x50→+ T E'	0x21 0x51 0x50	0x21
48	0x50→- T E'	0x22 0x51 0x50	0x22
49	0x50→| T E'	0x0c 0x51 0x50	0x0c
50	0x50→ε	0000	0x25 0x26 0x27 0x28 0x29 0x2a 0x2c 0x04 0x0f 0x10 0x05 0x30 0x06 0x11 0x07
51	0x51→F T'	0x53 0x52	0x2b 0x14 0x0b 0x33 0x34
52	0x52→* F T'	0x23 0x53 0x52	0x23
53	0x52→/ F T'	0x24 0x53 0x52	0x24
54	0x52→\ F T'	0x03 0x53 0x52	0x03
55	0x52→% F T'	0x0a 0x53 0x52	0x0a
56	0x52→& F T'	0000 0x53 0x52	0000
57	0x52→ε	0000	0x21 0x22 0x0c 0x25 0x26 0x27 0x28 0x29 0x2a 0x2c 0x04 0x0f 0x10 0x05 0x30 0x06 0x11 0x07
58	0x53→( E )	0x2b 0x4f 0x2c	0x2b
59	0x53→a	0x14	0x14
60	0x53→! a	0x0b 0x14	0x0b
61	0x53→n	0x33	0x33
62	0x53→x	0x34	0x34
63	0x54→E R' E	0x4f 0x55 0x4f	0x2b 0x14 0x0b 0x33 0x34
64	0x55→<	0x25	0x25
65	0x55→_	0x26	0x26
66	0x55→¿	0x27	0x27
67	0x55→?	0x28	0x28
68	0x55→>	0x29	0x29
69	0x55→$	0x2a	0x2a
