#	Valor	ID	Clase	IDAtomo	Atomo
0	PROGRAM	13	0:KEYWORD	13	#	1
1	id[0]	0	1:ID	20	a	1
2	(	40	7:SPECIAL	43	(	1
3	id[1]	1	1:ID	20	a	1
4	)	41	7:SPECIAL	44	)	1
5	;	59	7:SPECIAL	48	;	1
6	VAR	18	0:KEYWORD	18	v	3
7	id[2]	2	1:ID	20	a	3
8	,	44	7:SPECIAL	47	,	3
9	id[3]	3	1:ID	20	a	3
10	:	58	7:SPECIAL	49	:	3
11	integer	2	2:TYPE	23	i	3
12	;	59	7:SPECIAL	48	;	3
13	id[4]	4	1:ID	20	a	4
14	:	58	7:SPECIAL	49	:	4
15	integer	2	2:TYPE	23	i	4
16	;	59	7:SPECIAL	48	;	4
17	BEGIN	2	0:KEYWORD	2	e	5
18	id[2]	2	1:ID	20	a	6
19	:=	0	11:ASSIGN	54	=	6
20	5	0	8:INT_LIT	51	n	6
21	;	59	7:SPECIAL	48	;	6
22	id[3]	3	1:ID	20	a	7
23	:=	0	11:ASSIGN	54	=	7
24	id[2]	2	1:ID	20	a	7
25	+	43	5:A_OPER	33	+	7
26	3	0	8:INT_LIT	51	n	7
27	;	59	7:SPECIAL	48	;	7
28	IF	9	0:KEYWORD	9	s	8
29	id[2]	2	1:ID	20	a	8
30	>=	5	6:R_OPER	42	$	8
31	18	0	8:INT_LIT	51	n	8
32	THEN	15	0:KEYWORD	15	h	8
33	BEGIN	2	0:KEYWORD	2	e	9
34	id[3]	3	1:ID	20	a	10
35	:=	0	11:ASSIGN	54	=	10
36	40	0	8:INT_LIT	51	n	10
37	END	7	0:KEYWORD	7	f	11
38	;	59	7:SPECIAL	48	;	11
39	;	59	7:SPECIAL	48	;	11
40	writeln	5	4:PROCED	32	m	12
41	(	40	7:SPECIAL	43	(	12
42	str[0]	0	10:STRING	53	"	12
43	)	41	7:SPECIAL	44	)	12
44	4	0	8:INT_LIT	51	n	12
45	;	59	7:SPECIAL	48	;	12
46	IF	9	0:KEYWORD	9	s	13
47	id[2]	2	1:ID	20	a	13
48	=	2	6:R_OPER	39	¿	13
49	60	0	8:INT_LIT	51	n	13
50	THEN	15	0:KEYWORD	15	h	13
51	id[5]	5	1:ID	20	a	14
52	:=	0	11:ASSIGN	54	=	14
53	0	0	8:INT_LIT	51	n	14
54	;	59	7:SPECIAL	48	;	14
55	;	59	7:SPECIAL	48	;	14
56	FOR	8	0:KEYWORD	8	p	15
57	id[5]	5	1:ID	20	a	15
58	:=	0	11:ASSIGN	54	=	15
59	57005	0	8:INT_LIT	51	n	15
60	DOWNTO	5	0:KEYWORD	5	d	15
61	id[6]	6	1:ID	20	a	15
62	+	43	5:A_OPER	33	+	15
63	8	0	8:INT_LIT	51	n	15
64	DO	4	0:KEYWORD	4	z	15
65	BEGIN	2	0:KEYWORD	2	e	16
66	writeln	5	4:PROCED	32	m	17
67	(	40	7:SPECIAL	43	(	17
68	str[1]	1	10:STRING	53	"	17
69	)	41	7:SPECIAL	44	)	17
70	END	7	0:KEYWORD	7	f	18

#	Valor	ID	Clase	IDAtomo	Atomo
0	;	59	7:SPECIAL	48	;	18
1	IF	9	0:KEYWORD	9	s	19
2	id[2]	2	1:ID	20	a	19
3	=	2	6:R_OPER	39	¿	19
